Year,State,total,party.1,%,EV,party.2,%,EV,party.3,%,EV,party.4,%,EV,Party,Notes
1944 - Roosevelt,Kentucky,867924,472589,54.5,11,392448,45.2,,,,,,,,Democratic,
1944 - Roosevelt,Louisiana,349383,281564,80.6,10,67750,19.4,,,,,,,,Democratic,
1944 - Roosevelt,Maine,296400,140631,47.4,,155434,52.4,5,,,,,,,Republican,
1944 - Roosevelt,Maryland,608439,315490,51.9,8,292949,48.1,,,,,,,,Democratic,
1944 - Roosevelt,Massachusetts,1960665,1035296,52.8,16,921350,47,,,,,,,,Democratic,
1944 - Roosevelt,Michigan,2205223,1106899,50.2,19,1084423,49.2,,,,,,,,Democratic,
1944 - Roosevelt,Minnesota,1125504,589864,52.4,11,527416,46.9,,,,,,,,Democratic,
1944 - Roosevelt,Mississippi,180234,168621,93.6,9,11613,6.4,,,,,,,,Democratic,
1944 - Roosevelt,Missouri,1571697,807356,51.4,15,761175,48.4,,,,,,,,Democratic,
1944 - Roosevelt,Montana,207355,112556,54.3,4,93163,44.9,,,,,,,,Democratic,
1944 - Roosevelt,Nebraska,563126,233246,41.4,,329880,58.6,6,,,,,,,Republican,
1944 - Roosevelt,Nevada,54234,29623,54.6,3,24611,45.4,,,,,,,,Democratic,
1944 - Roosevelt,New Hampshire,229625,119663,52.1,4,109916,47.9,,,,,,,,Democratic,
1944 - Roosevelt,New Jersey,1963761,987874,50.3,16,961335,49,,,,,,,,Democratic,
1944 - Roosevelt,New Mexico,152225,81389,53.5,4,70688,46.4,,,,,,,,Democratic,
1944 - Roosevelt,New York,6316790,3304238,52.3,47,2987647,47.3,,,,,,,,Democratic,
1944 - Roosevelt,North Carolina,790554,527399,66.7,14,263155,33.3,,,,,,,,Democratic,
1944 - Roosevelt,North Dakota,220182,100144,45.5,,118535,53.8,4,,,,,,,Republican,
1944 - Roosevelt,Ohio,3153056,1570763,49.8,,1582293,50.2,25,,,,,,,Republican,
1944 - Roosevelt,Oklahoma,722636,401549,55.6,10,319424,44.2,,,,,,,,Democratic,
1944 - Roosevelt,Oregon,480147,248635,51.8,6,225365,46.9,,,,,,,,Democratic,
1944 - Roosevelt,Pennsylvania,3794793,1940479,51.1,35,1835054,48.4,,,,,,,,Democratic,
1944 - Roosevelt,Rhode Island,299276,175356,58.6,4,123487,41.3,,,,,,,,Democratic,
1944 - Roosevelt,South Carolina,103382,90601,87.6,8,4554,4.4,,,,,,,,Democratic,
1944 - Roosevelt,South Dakota,232076,96711,41.7,,135365,58.3,4,,,,,,,Republican,
1944 - Roosevelt,Tennessee,510692,308707,60.4,12,200311,39.2,,,,,,,,Democratic,
1944 - Roosevelt,Texas,1150334,821605,71.4,23,191423,16.6,,,,,,,,Democratic,
1944 - Roosevelt,Utah,248319,150088,60.4,4,97891,39.4,,,,,,,,Democratic,
1944 - Roosevelt,Vermont,125361,53820,42.9,,71527,57.1,3,,,,,,,Republican,
1944 - Roosevelt,Virginia,388485,242276,62.4,11,145243,37.4,,,,,,,,Democratic,
1944 - Roosevelt,Washington,856328,486774,56.8,8,361689,42.2,,,,,,,,Democratic,
1944 - Roosevelt,West Virginia,715596,392777,54.9,8,322819,45.1,,,,,,,,Democratic,
1944 - Roosevelt,Wisconsin,1339152,650413,48.6,,674532,50.4,12,,,,,,,Republican,
1944 - Roosevelt,Wyoming,101340,49419,48.8,,51921,51.2,3,,,,,,,Republican,
1948 - Truman,Alabama,214980,0,0,,40930,19,,171443,79.7,11,,,,Other,
1948 - Truman,Arizona,177065,95251,53.8,4,77597,43.8,,0,0, ,,,,Democratic,
1948 - Truman,Arkansas,242475,149659,61.7,9,50959,21,,40068,16.5, ,,,,Democratic,
1948 - Truman,California,4021538,1913134,47.6,25,1895269,47.1,,1228,0, ,,,,Democratic,
1948 - Truman,Colorado,515237,267288,51.9,6,239714,46.5,,0,0, ,,,,Democratic,
1948 - Truman,Connecticut,883518,423297,47.9,,437754,49.5,8,0,0, ,,,,Republican,
1948 - Truman,Delaware,139073,67813,48.8,,69588,50,3,0,0, ,,,,Republican,
1948 - Truman,Florida,577643,281988,48.8,8,194280,33.6,,89755,15.5, ,,,,Democratic,
1948 - Truman,Georgia,418844,254646,60.8,12,76691,18.3,,85135,20.3, ,,,,Democratic,
1948 - Truman,Idaho,214816,107370,50,4,101514,47.3,,0,0, ,,,,Democratic,
1948 - Truman,Illinois,3984046,1994715,50.1,28,1961103,49.2,,0,0, ,,,,Democratic,
1948 - Truman,Indiana,1656212,807831,48.8,,821079,49.6,13,0,0, ,,,,Republican,
1948 - Truman,Iowa,1038264,522380,50.3,10,494018,47.6,,0,0, ,,,,Democratic,
1948 - Truman,Kansas,788819,351902,44.6,,423039,53.6,8,0,0, ,,,,Republican,
1948 - Truman,Kentucky,822658,466756,56.7,11,341210,41.5,,10411,1.3, ,,,,Democratic,
1948 - Truman,Louisiana,416336,136344,32.7,,72657,17.5,,204290,49.1,10,,,,Other,
1948 - Truman,Maine,264787,111916,42.3,,150234,56.7,5,0,0, ,,,,Republican,
1948 - Truman,Maryland,596748,286521,48,,294814,49.4,8,2489,0.4, ,,,,Republican,
1948 - Truman,Massachusetts,2107146,1151788,54.7,16,909370,43.2,,0,0, ,,,,Democratic,
1948 - Truman,Michigan,2109609,1003448,47.6,,1038595,49.2,19,0,0, ,,,,Republican,
1948 - Truman,Minnesota,1212226,692966,57.2,11,483617,39.9,,0,0, ,,,,Democratic,
1948 - Truman,Mississippi,192190,19384,10.1,,5043,2.6,,167538,87.2,9,,,,Other,
1948 - Truman,Missouri,1578628,917315,58.1,15,655039,41.5,,0,0, ,,,,Democratic,
1948 - Truman,Montana,224278,119071,53.1,4,96770,43.1,,0,0, ,,,,Democratic,
