Year,State,total,party.1,%,EV,party.2,%,EV,party.3,%,EV,party.4,%,EV,Party,Notes
1976 - Carter,California,7867117,3742284,47.6,,3882244,49.3,45,,,,,,,Republican,
1976 - Carter,Colorado,1081554,460353,42.6,,584367,54,7,,,,,,,Republican,
1976 - Carter,Connecticut,1381526,647895,46.9,,719261,52.1,8,,,,,,,Republican,
1976 - Carter,Delaware,235834,122596,52,3,109831,46.6,,,,,,,,Democratic,
1976 - Carter,Dist. of Col.,168830,137818,81.6,3,27873,16.5,,,,,,,,Democratic,
1976 - Carter,Florida,3150631,1636000,51.9,17,1469531,46.6,,,,,,,,Democratic,
1976 - Carter,Georgia,1467458,979409,66.7,12,483743,33,,,,,,,,Democratic,
1976 - Carter,Hawaii,291301,147375,50.6,4,140003,48.1,,,,,,,,Democratic,
1976 - Carter,Idaho,344071,126549,36.8,,204151,59.3,4,,,,,,,Republican,
1976 - Carter,Illinois,4718914,2271295,48.1,,2364269,50.1,26,,,,,,,Republican,
1976 - Carter,Indiana,2220362,1014714,45.7,,1183958,53.3,13,,,,,,,Republican,
1976 - Carter,Iowa,1279306,619931,48.5,,632863,49.5,8,,,,,,,Republican,
1976 - Carter,Kansas,957845,430421,44.9,,502752,52.5,7,,,,,,,Republican,
1976 - Carter,Kentucky,1167142,615717,52.8,9,531852,45.6,,,,,,,,Democratic,
1976 - Carter,Louisiana,1278439,661365,51.7,10,587446,46,,,,,,,,Democratic,
1976 - Carter,Maine,483216,232279,48.1,,236320,48.9,4,,,,,,,Republican,
1976 - Carter,Maryland,1439897,759612,52.8,10,672661,46.7,,,,,,,,Democratic,
1976 - Carter,Massachusetts,2547558,1429475,56.1,14,1030276,40.4,,,,,,,,Democratic,
1976 - Carter,Michigan,3653749,1696714,46.4,,1893742,51.8,21,,,,,,,Republican,
1976 - Carter,Minnesota,1949931,1070440,54.9,10,819395,42,,,,,,,,Democratic,
1976 - Carter,Mississippi,769361,381309,49.6,7,366846,47.7,,,,,,,,Democratic,
1976 - Carter,Missouri,1953600,998387,51.1,12,927443,47.5,,,,,,,,Democratic,
1976 - Carter,Montana,328734,149259,45.4,,173703,52.8,4,,,,,,,Republican,
1976 - Carter,Nebraska,607668,233692,38.5,,359705,59.2,5,,,,,,,Republican,
1976 - Carter,Nevada,201876,92479,45.8,,101273,50.2,3,,,,,,,Republican,
1976 - Carter,New Hampshire,339618,147635,43.5,,185935,54.7,4,,,,,,,Republican,
1976 - Carter,New Jersey,3014472,1444653,47.9,,1509688,50.1,17,,,,,,,Republican,
1976 - Carter,New Mexico,418409,201148,48.1,,211419,50.5,4,,,,,,,Republican,
1976 - Carter,New York,6534170,3389558,51.9,41,3100791,47.5,,,,,,,,Democratic,
1976 - Carter,North Carolina,1678914,927365,55.2,13,741960,44.2,,,,,,,,Democratic,
1976 - Carter,North Dakota,297188,136078,45.8,,153470,51.6,3,,,,,,,Republican,
1976 - Carter,Ohio,4111873,2011621,48.9,25,2000505,48.7,,,,,,,,Democratic,
1976 - Carter,Oklahoma,1092251,532442,48.7,,545708,50,8,,,,,,,Republican,
1976 - Carter,Oregon,1029876,490407,47.6,,492120,47.8,6,,,,,,,Republican,
1976 - Carter,Pennsylvania,4620787,2328677,50.4,27,2205604,47.7,,,,,,,,Democratic,
1976 - Carter,Rhode Island,411170,227636,55.4,4,181249,44.1,,,,,,,,Democratic,
1976 - Carter,South Carolina,802583,450807,56.2,8,346149,43.1,,,,,,,,Democratic,
1976 - Carter,South Dakota,300678,147068,48.9,,151505,50.4,4,,,,,,,Republican,
1976 - Carter,Tennessee,1476345,825879,55.9,10,633969,42.9,,,,,,,,Democratic,
1976 - Carter,Texas,4071884,2082319,51.1,26,1953300,48,,,,,,,,Democratic,
1976 - Carter,Utah,541198,182110,33.6,,337908,62.4,4,,,,,,,Republican,
1976 - Carter,Vermont,187765,80954,43.1,,102085,54.4,3,,,,,,,Republican,
1976 - Carter,Virginia,1697094,813896,48,,836554,49.3,12,,,,,,,Republican,
1976 - Carter,Washington,1555534,717323,46.1,,777732,50,8*,,,,,,,Republican,
1976 - Carter,West Virginia,750964,435914,58,6,314760,41.9,,,,,,,,Democratic,
1976 - Carter,Wisconsin,2104175,1040232,49.4,11,1004987,47.8,,,,,,,,Democratic,
1976 - Carter,Wyoming,156343,62239,39.8,,92717,59.3,3,,,,,,,Republican,
1980 - Reagan,Alabama,1341929,654192,48.8,9,636730,47.4,,16481,1.2, ,,,,Republican,
1980 - Reagan,Alaska,158445,86112,54.3,3,41842,26.4,,11155,7, ,,,,Republican,
1980 - Reagan,Arizona,873945,529688,60.6,6,246843,28.2,,76952,8.8, ,,,,Republican,
1980 - Reagan,Arkansas,837582,403164,48.1,6,398041,47.5,,22468,2.7, ,,,,Republican,
1980 - Reagan,California,8587063,4524858,52.7,45,3083661,35.9,,739833,8.6, ,,,,Republican,
1980 - Reagan,Colorado,1184415,652264,55.1,7,367973,31.1,,130633,11, ,,,,Republican,
1980 - Reagan,Connecticut,1406285,677210,48.2,8,541732,38.5,,171807,12.2, ,,,,Republican,
1980 - Reagan,Delaware,235900,111252,47.2,3,105754,44.8,,16288,6.9, ,,,,Republican,
1980 - Reagan,Dist. of Col.,175237,23545,13.4,,131113,74.8,3,16337,9.3, ,,,,Democratic,
1980 - Reagan,Florida,3686930,2046951,55.5,17,1419475,38.5,,189692,5.1, ,,,,Republican,
1980 - Reagan,Georgia,1596695,654168,41,,890733,55.8,12,36055,2.3, ,,,,Democratic,
1980 - Reagan,Hawaii,303287,130112,42.9,,135879,44.8,4,32021,10.6, ,,,,Democratic,
1980 - Reagan,Idaho,437431,290699,66.5,4,110192,25.2,,27058,6.2, ,,,,Republican,
1980 - Reagan,Illinois,4749721,2358049,49.6,26,1981413,41.7,,346754,7.3, ,,,,Republican,
1980 - Reagan,Indiana,2242033,1255656,56,13,844197,37.7,,111639,5, ,,,,Republican,
1980 - Reagan,Iowa,1317661,676026,51.3,8,508672,38.6,,115633,8.8, ,,,,Republican,
1980 - Reagan,Kansas,979795,566812,57.9,7,326150,33.3,,68231,7, ,,,,Republican,
1980 - Reagan,Kentucky,1294627,635274,49.1,9,616417,47.6,,31127,2.4, ,,,,Republican,
1980 - Reagan,Louisiana,1548591,792853,51.2,10,708453,45.7,,26345,1.7, ,,,,Republican,
1980 - Reagan,Maine,523011,238522,45.6,4,220974,42.3,,53327,10.2, ,,,,Republican,
1980 - Reagan,Maryland,1540496,680606,44.2,,726161,47.1,10,119537,7.8, ,,,,Democratic,
1980 - Reagan,Massachusetts,2522890,1057631,41.9,14,1053802,41.7,,382539,15.2, ,,,,Republican,
1980 - Reagan,Michigan,3909725,1915225,49,21,1661532,42.5,,275223,7, ,,,,Republican,
1980 - Reagan,Minnesota,2051980,873268,42.6,,954174,46.5,10,174990,8.5, ,,,,Democratic,
1980 - Reagan,Mississippi,892620,441089,49.4,7,429281,48.1,,12036,1.3, ,,,,Republican,
1980 - Reagan,Missouri,2099824,1074181,51.2,12,931182,44.3,,77920,3.7, ,,,,Republican,
1980 - Reagan,Montana,363952,206814,56.8,4,118032,32.4,,29281,8, ,,,,Republican,
1980 - Reagan,Nebraska,640854,419937,65.5,5,166851,26,,44993,7, ,,,,Republican,
1980 - Reagan,Nevada,247885,155017,62.5,3,66666,26.9,,17651,7.1, ,,,,Republican,
1980 - Reagan,New Hampshire,383990,221705,57.7,4,108864,28.4,,49693,12.9, ,,,,Republican,
1980 - Reagan,New Jersey,2975684,1546557,52,17,1147364,38.6,,234632,7.9, ,,,,Republican,
1980 - Reagan,New Mexico,456971,250779,54.9,4,167826,36.7,,29459,6.4, ,,,,Republican,
1980 - Reagan,New York,6201959,2893831,46.7,41,2728372,44,,467801,7.5, ,,,,Republican,
1980 - Reagan,North Carolina,1855833,915018,49.3,13,875635,47.2,,52800,2.8, ,,,,Republican,
1980 - Reagan,North Dakota,301545,193695,64.2,3,79189,26.3,,23640,7.8, ,,,,Republican,
1980 - Reagan,Ohio,4283603,2206545,51.5,25,1752414,40.9,,254472,5.9, ,,,,Republican,
1980 - Reagan,Oklahoma,1149708,695570,60.5,8,402026,35,,38284,3.3, ,,,,Republican,
1980 - Reagan,Oregon,1181516,571044,48.3,6,456890,38.7,,112389,9.5, ,,,,Republican,
1980 - Reagan,Pennsylvania,4561501,2261872,49.6,27,1937540,42.5,,292921,6.4, ,,,,Republican,
1980 - Reagan,Rhode Island,416072,154793,37.2,,198342,47.7,4,59819,14.4, ,,,,Democratic,
1980 - Reagan,South Carolina,894071,441841,49.4,8,430385,48.1,,14153,1.6, ,,,,Republican,
1980 - Reagan,South Dakota,327703,198343,60.5,4,103855,31.7,,21431,6.5, ,,,,Republican,
1980 - Reagan,Tennessee,1617616,787761,48.7,10,783051,48.4,,35991,2.2, ,,,,Republican,
1980 - Reagan,Texas,4541636,2510705,55.3,26,1881147,41.4,,111613,2.5, ,,,,Republican,
1980 - Reagan,Utah,604222,439687,72.8,4,124266,20.6,,30284,5, ,,,,Republican,
1980 - Reagan,Vermont,213299,94628,44.4,3,81952,38.4,,31761,14.9, ,,,,Republican,
1980 - Reagan,Virginia,1866032,989609,53,12,752174,40.3,,95418,5.1, ,,,,Republican,
1980 - Reagan,Washington,1742394,865244,49.7,9,650193,37.3,,185073,10.6, ,,,,Republican,
1980 - Reagan,West Virginia,737715,334206,45.3,,367462,49.8,6,31691,4.3, ,,,,Democratic,
1980 - Reagan,Wisconsin,2273221,1088845,47.9,11,981584,43.2,,160657,7.1, ,,,,Republican,
1980 - Reagan,Wyoming,176713,110700,62.6,3,49427,28,,12072,6.8, ,,,,Republican,
1984 - Reagan,Alabama,1441713,872849,60.5,9,551899,38.3, ,,,,,,,Republican,
1984 - Reagan,Alaska,207605,138377,66.7,3,62007,29.9, ,,,,,,,Republican,
1984 - Reagan,Arizona,1025897,681416,66.4,7,333854,32.5, ,,,,,,,Republican,
1984 - Reagan,Arkansas,884406,534774,60.5,6,338646,38.3, ,,,,,,,Republican,
1984 - Reagan,California,9505423,5467009,57.5,47,3922519,41.3, ,,,,,,,Republican,
1984 - Reagan,Colorado,1295380,821817,63.4,8,454975,35.1, ,,,,,,,Republican,
1984 - Reagan,Connecticut,1466900,890877,60.7,8,569597,38.8, ,,,,,,,Republican,
1984 - Reagan,Delaware,254572,152190,59.8,3,101656,39.9, ,,,,,,,Republican,
1984 - Reagan,Dist. of Col.,211288,29009,13.7, ,180408,85.4,3,,,,,,,Democratic,
1984 - Reagan,Florida,4180051,2730350,65.3,21,1448816,34.7, ,,,,,,,Republican,
1984 - Reagan,Georgia,1776120,1068722,60.2,12,706628,39.8, ,,,,,,,Republican,
1984 - Reagan,Hawaii,335846,185050,55.1,4,147154,43.8, ,,,,,,,Republican,
1984 - Reagan,Idaho,411144,297523,72.4,4,108510,26.4, ,,,,,,,Republican,
1984 - Reagan,Illinois,4819088,2707103,56.2,24,2086499,43.3, ,,,,,,,Republican,
1984 - Reagan,Indiana,2233069,1377230,61.7,12,841481,37.7, ,,,,,,,Republican,
1984 - Reagan,Iowa,1319805,703088,53.3,8,605620,45.9, ,,,,,,,Republican,
1984 - Reagan,Kansas,1021991,677296,66.3,7,333149,32.6, ,,,,,,,Republican,
1984 - Reagan,Kentucky,1369345,821702,60,9,539539,39.4, ,,,,,,,Republican,
1984 - Reagan,Louisiana,1706822,1037299,60.8,10,651586,38.2, ,,,,,,,Republican,
1984 - Reagan,Maine,553144,336500,60.8,4,214515,38.8, ,,,,,,,Republican,
1984 - Reagan,Maryland,1675873,879918,52.5,10,787935,47, ,,,,,,,Republican,
1984 - Reagan,Massachusetts,2559453,1310936,51.2,13,1239606,48.4, ,,,,,,,Republican,
1984 - Reagan,Michigan,3801658,2251571,59.2,20,1529638,40.2, ,,,,,,,Republican,
1984 - Reagan,Minnesota,2084449,1032603,49.5, ,1036364,49.7,10,,,,,,,Democratic,
1984 - Reagan,Mississippi,941104,582377,61.9,7,352192,37.4, ,,,,,,,Republican,
1984 - Reagan,Missouri,2122783,1274188,60,11,848583,40, ,,,,,,,Republican,
1984 - Reagan,Montana,384377,232450,60.5,4,146742,38.2, ,,,,,,,Republican,
1984 - Reagan,Nebraska,652090,460054,70.6,5,187866,28.8, ,,,,,,,Republican,
1984 - Reagan,Nevada,286667,188770,65.8,4,91655,32, ,,,,,,,Republican,
1984 - Reagan,New Hampshire,389066,267051,68.6,4,120395,30.9, ,,,,,,,Republican,
1984 - Reagan,New Jersey,3217862,1933630,60.1,16,1261323,39.2, ,,,,,,,Republican,
1984 - Reagan,New Mexico,514370,307101,59.7,5,201769,39.2, ,,,,,,,Republican,
1984 - Reagan,New York,6806810,3664763,53.8,36,3119609,45.8, ,,,,,,,Republican,
1984 - Reagan,North Carolina,2175361,1346481,61.9,13,824287,37.9, ,,,,,,,Republican,
1984 - Reagan,North Dakota,308971,200336,64.8,3,104429,33.8, ,,,,,,,Republican,
1984 - Reagan,Ohio,4547619,2678560,58.9,23,1825440,40.1, ,,,,,,,Republican,
1984 - Reagan,Oklahoma,1255676,861530,68.6,8,385080,30.7, ,,,,,,,Republican,
1984 - Reagan,Oregon,1226527,685700,55.9,7,536479,43.7, ,,,,,,,Republican,
1984 - Reagan,Pennsylvania,4844903,2584323,53.3,25,2228131,46, ,,,,,,,Republican,
1984 - Reagan,Rhode Island,410492,212080,51.7,4,197106,48, ,,,,,,,Republican,
1984 - Reagan,South Carolina,968529,615539,63.6,8,344459,35.6, ,,,,,,,Republican,
1984 - Reagan,South Dakota,317867,200267,63,3,116113,36.5, ,,,,,,,Republican,
1984 - Reagan,Tennessee,1711994,990212,57.8,11,711714,41.6, ,,,,,,,Republican,
1984 - Reagan,Texas,5397571,3433428,63.6,29,1949276,36.1, ,,,,,,,Republican,
1984 - Reagan,Utah,629656,469105,74.5,5,155369,24.7, ,,,,,,,Republican,
1984 - Reagan,Vermont,234561,135865,57.9,3,95730,40.8, ,,,,,,,Republican,
1984 - Reagan,Virginia,2146635,1337078,62.3,12,796250,37.1, ,,,,,,,Republican,
1984 - Reagan,Washington,1883910,1051670,55.8,10,807352,42.9, ,,,,,,,Republican,
1984 - Reagan,West Virginia,735742,405483,55.1,6,328125,44.6, ,,,,,,,Republican,
1984 - Reagan,Wisconsin,2211689,1198584,54.2,11,995740,45, ,,,,,,,Republican,
1984 - Reagan,Wyoming,188968,133241,70.5,3,53370,28.2, ,,,,,,,Republican,
1988 - Bush,Alabama,1378476,815576,59.2,9,549506,39.9, ,,,,,,,Republican,
1988 - Bush,Alaska,200116,119251,59.6,3,72584,36.3, ,,,,,,,Republican,
1988 - Bush,Arizona,1171873,702541,60,7,454029,38.7, ,,,,,,,Republican,
1988 - Bush,Arkansas,827738,466578,56.4,6,349237,42.2, ,,,,,,,Republican,
1988 - Bush,California,9887065,5054917,51.1,47,4702233,47.6, ,,,,,,,Republican,
1988 - Bush,Colorado,1372394,728177,53.1,8,621453,45.3, ,,,,,,,Republican,
1988 - Bush,Connecticut,1443394,750241,52,8,676584,46.9, ,,,,,,,Republican,
1988 - Bush,Delaware,249891,139639,55.9,3,108647,43.5, ,,,,,,,Republican,
1988 - Bush,Dist. of Col.,192877,27590,14.3, ,159407,82.6,3,,,,,,,Democratic,
1988 - Bush,Florida,4302313,2618885,60.9,21,1656701,38.5, ,,,,,,,Republican,
1988 - Bush,Georgia,1809672,1081331,59.8,12,714792,39.5, ,,,,,,,Republican,
1988 - Bush,Hawaii,354461,158625,44.8, ,192364,54.3,4,,,,,,,Democratic,
1988 - Bush,Idaho,408968,253881,62.1,4,147272,36, ,,,,,,,Republican,
1988 - Bush,Illinois,4559120,2310939,50.7,24,2215940,48.6, ,,,,,,,Republican,
1988 - Bush,Indiana,2168621,1297763,59.8,12,860643,39.7, ,,,,,,,Republican,
1988 - Bush,Iowa,1225614,545355,44.5, ,670557,54.7,8,,,,,,,Democratic,
1988 - Bush,Kansas,993044,554049,55.8,7,422636,42.6, ,,,,,,,Republican,
1988 - Bush,Kentucky,1322517,734281,55.5,9,580368,43.9, ,,,,,,,Republican,
1988 - Bush,Louisiana,1628202,883702,54.3,10,717460,44.1, ,,,,,,,Republican,
1988 - Bush,Maine,555035,307131,55.3,4,243569,43.9, ,,,,,,,Republican,
1988 - Bush,Maryland,1714358,876167,51.1,10,826304,48.2, ,,,,,,,Republican,
1988 - Bush,Massachusetts,2632805,1194635,45.4, ,1401415,53.2,13,,,,,,,Democratic,
1988 - Bush,Michigan,3669163,1965486,53.6,20,1675783,45.7, ,,,,,,,Republican,
1988 - Bush,Minnesota,2096790,962337,45.9, ,1109471,52.9,10,,,,,,,Democratic,
1988 - Bush,Mississippi,931527,557890,59.9,7,363921,39.1, ,,,,,,,Republican,
1988 - Bush,Missouri,2093713,1084953,51.8,11,1001619,47.8, ,,,,,,,Republican,
1988 - Bush,Montana,365674,190412,52.1,4,168936,46.2, ,,,,,,,Republican,
1988 - Bush,Nebraska,661465,397956,60.2,5,259235,39.2, ,,,,,,,Republican,
1988 - Bush,Nevada,350067,206040,58.9,4,132738,37.9, ,,,,,,,Republican,
1988 - Bush,New Hampshire,451074,281537,62.4,4,163696,36.3, ,,,,,,,Republican,
1988 - Bush,New Jersey,3099553,1743192,56.2,16,1320352,42.6, ,,,,,,,Republican,
1988 - Bush,New Mexico,521287,270341,51.9,5,244497,46.9, ,,,,,,,Republican,
1988 - Bush,New York,6485683,3081871,47.5, ,3347882,51.6,36,,,,,,,Democratic,
1988 - Bush,North Carolina,2134370,1237258,58,13,890167,41.7, ,,,,,,,Republican,
1988 - Bush,North Dakota,297261,166559,56,3,127739,43, ,,,,,,,Republican,
1988 - Bush,Ohio,4393699,2416549,55,23,1939629,44.1, ,,,,,,,Republican,
1988 - Bush,Oklahoma,1171036,678367,57.9,8,483423,41.3, ,,,,,,,Republican,
1988 - Bush,Oregon,1201694,560126,46.6, ,616206,51.3,7,,,,,,,Democratic,
1988 - Bush,Pennsylvania,4536251,2300087,50.7,25,2194944,48.4, ,,,,,,,Republican,
1988 - Bush,Rhode Island,404620,177761,43.9, ,225123,55.6,4,,,,,,,Democratic,
1988 - Bush,South Carolina,986009,606443,61.5,8,370554,37.6, ,,,,,,,Republican,
1988 - Bush,South Dakota,312991,165415,52.8,3,145560,46.5, ,,,,,,,Republican,
1988 - Bush,Tennessee,1636250,947233,57.9,11,679794,41.5, ,,,,,,,Republican,
1988 - Bush,Texas,5427410,3036829,56,29,2352748,43.3, ,,,,,,,Republican,
1988 - Bush,Utah,647008,428442,66.2,5,207343,32, ,,,,,,,Republican,
1988 - Bush,Vermont,243328,124331,51.1,3,115775,47.6, ,,,,,,,Republican,
1988 - Bush,Virginia,2191609,1309162,59.7,12,859799,39.2, ,,,,,,,Republican,
1988 - Bush,Washington,1865253,903835,48.5, ,933516,50,10,,,,,,,Democratic,
1988 - Bush,West Virginia,653311,310065,47.5, ,341016,52.2,5*,,,,,,,Democratic,
1988 - Bush,Wisconsin,2191608,1047499,47.8, ,1126794,51.4,11,,,,,,,Democratic,
1988 - Bush,Wyoming,176551,106867,60.5,3,67113,38, ,,,,,,,Republican,
1992 - Clinton,Alabama,1688060,690080,40.9,,804283,47.6,9,183109,10.8, ,,,,Republican,
1992 - Clinton,Alaska,258506,78294,30.3,,102000,39.5,3,73481,28.4, ,,,,Republican,
1992 - Clinton,Arizona,1486975,543050,36.5,,572086,38.5,8,353741,23.8, ,,,,Republican,
1992 - Clinton,Arkansas,950653,505823,53.2,6,337324,35.5,,99132,10.4, ,,,,Democratic,
1992 - Clinton,California,11131721,5121325,46,54,3630574,32.6,,2296006,20.6, ,,,,Democratic,
1992 - Clinton,Colorado,1569180,629681,40.1,8,562850,35.9,,366010,23.3, ,,,,Democratic,
1992 - Clinton,Connecticut,1616332,682318,42.2,8,578313,35.8,,348771,21.6, ,,,,Democratic,
1992 - Clinton,Delaware,289735,126054,43.5,3,102313,35.3,,59213,20.4, ,,,,Democratic,
1992 - Clinton,Dist. of Col.,227572,192619,84.6,3,20698,9.1,,9681,4.3, ,,,,Democratic,
1992 - Clinton,Florida,5314392,2072698,39,,2173310,40.9,25,1053067,19.8, ,,,,Republican,
1992 - Clinton,Georgia,2321125,1008966,43.5,13,995252,42.9,,309657,13.3, ,,,,Democratic,
1992 - Clinton,Hawaii,372842,179310,48.1,4,136822,36.7,,53003,14.2, ,,,,Democratic,
1992 - Clinton,Idaho,482142,137013,28.4,,202645,42,4,130395,27, ,,,,Republican,
1992 - Clinton,Illinois,5050157,2453350,48.6,22,1734096,34.3,,840515,16.6, ,,,,Democratic,
1992 - Clinton,Indiana,2305871,848420,36.8,,989375,42.9,12,455934,19.8, ,,,,Republican,
1992 - Clinton,Iowa,1354607,586353,43.3,7,504891,37.3,,253468,18.7, ,,,,Democratic,
1992 - Clinton,Kansas,1157335,390434,33.7,,449951,38.9,6,312358,27, ,,,,Republican,
1992 - Clinton,Kentucky,1492900,665104,44.6,8,617178,41.3,,203944,13.7, ,,,,Democratic,
1992 - Clinton,Louisiana,1790017,815971,45.6,9,733386,41,,211478,11.8, ,,,,Democratic,
1992 - Clinton,Maine,679499,263420,38.8,4,206504,30.4,,206820,30.4, ,,,,Democratic,
1992 - Clinton,Maryland,1985046,988571,49.8,10,707094,35.6,,281414,14.2, ,,,,Democratic,
1992 - Clinton,Massachusetts,2773700,1318662,47.5,12,805049,29,,630731,22.7, ,,,,Democratic,
1992 - Clinton,Michigan,4274673,1871182,43.8,18,1554940,36.4,,824813,19.3, ,,,,Democratic,
1992 - Clinton,Minnesota,2347948,1020997,43.5,10,747841,31.9,,562506,24, ,,,,Democratic,
1992 - Clinton,Mississippi,981793,400258,40.8,,487793,49.7,7,85626,8.7, ,,,,Republican,
1992 - Clinton,Missouri,2391565,1053873,44.1,11,811159,33.9,,518741,21.7, ,,,,Democratic,
1992 - Clinton,Montana,410611,154507,37.6,3,144207,35.1,,107225,26.1, ,,,,Democratic,
1992 - Clinton,Nebraska,737546,216864,29.4,,343678,46.6,5,174104,23.6, ,,,,Republican,
1992 - Clinton,Nevada,506318,189148,37.4,4,175828,34.7,,132580,26.2, ,,,,Democratic,
1992 - Clinton,New Hampshire,537943,209040,38.9,4,202484,37.6,,121337,22.6, ,,,,Democratic,
1992 - Clinton,New Jersey,3343594,1436206,43,15,1356865,40.6,,521829,15.6, ,,,,Democratic,
1992 - Clinton,New Mexico,569986,261617,45.9,5,212824,37.3,,91895,16.1, ,,,,Democratic,
1992 - Clinton,New York,6926925,3444450,49.7,33,2346649,33.9,,1090721,15.7, ,,,,Democratic,
1992 - Clinton,North Carolina,2611850,1114042,42.7,,1134661,43.4,14,357864,13.7, ,,,,Republican,
1992 - Clinton,North Dakota,308133,99168,32.2,,136244,44.2,3,71084,23.1, ,,,,Republican,
1992 - Clinton,Ohio,4939967,1984942,40.2,21,1894310,38.3,,1036426,21, ,,,,Democratic,
1992 - Clinton,Oklahoma,1390359,473066,34,,592929,42.6,8,319878,23, ,,,,Republican,
1992 - Clinton,Oregon,1462643,621314,42.5,7,475757,32.5,,354091,24.2, ,,,,Democratic,
1992 - Clinton,Pennsylvania,4959810,2239164,45.1,23,1791841,36.1,,902667,18.2, ,,,,Democratic,
1992 - Clinton,Rhode Island,453477,213299,47,4,131601,29,,105045,23.2, ,,,,Democratic,
1992 - Clinton,South Carolina,1202527,479514,39.9,,577507,48,8,138872,11.5, ,,,,Republican,
1992 - Clinton,South Dakota,336254,124888,37.1,,136718,40.7,3,73295,21.8, ,,,,Republican,
1992 - Clinton,Tennessee,1982638,933521,47.1,11,841300,42.4,,199968,10.1, ,,,,Democratic,
1992 - Clinton,Texas,6154018,2281815,37.1,,2496071,40.6,32,1354781,22, ,,,,Republican,
1992 - Clinton,Utah,743999,183429,24.7,,322632,43.4,5,203400,27.3, ,,,,Republican,
1992 - Clinton,Vermont,289701,133592,46.1,3,88122,30.4,,65991,22.8, ,,,,Democratic,
1992 - Clinton,Virginia,2558665,1038650,40.6,,1150517,45,13,348639,13.6, ,,,,Republican,
1992 - Clinton,Washington,2288230,993037,43.4,11,731234,32,,541780,23.7, ,,,,Democratic,
1992 - Clinton,West Virginia,683762,331001,48.4,5,241974,35.4,,108829,15.9, ,,,,Democratic,
1992 - Clinton,Wisconsin,2531114,1041066,41.1,11,930855,36.8,,544479,21.5, ,,,,Democratic,
1992 - Clinton,Wyoming,200598,68160,34,,79347,39.6,3,51263,25.6, ,,,,Republican,
1996 - Clinton,Alabama,1534349,662165,43.2,,769044,50.1,9,92149,6, ,,,,Republican,
1996 - Clinton,Alaska,241620,80380,33.3,,122746,50.8,3,26333,10.9, ,,,,Republican,
1996 - Clinton,Arizona,1404405,653288,46.5,8,622073,44.3,,112072,8, ,,,,Democratic,
1996 - Clinton,Arkansas,884262,475171,53.7,6,325416,36.8,,69884,7.9, ,,,,Democratic,
1996 - Clinton,California,10019484,5119835,51.1,54,3828380,38.2,,697847,7, ,,,,Democratic,
1996 - Clinton,Colorado,1510704,671152,44.4,,691848,45.8,8,99629,6.6, ,,,,Republican,
1996 - Clinton,Connecticut,1392614,735740,52.8,8,483109,34.7,,139523,10, ,,,,Democratic,
1996 - Clinton,Delaware,270845,140355,51.8,3,99062,36.6,,28719,10.6, ,,,,Democratic,
1996 - Clinton,Dist. of Col.,185726,158220,85.2,3,17339,9.3,,3611,1.9, ,,,,Democratic,
1996 - Clinton,Florida,5303794,2546870,48,25,2244536,42.3,,483870,9.1, ,,,,Democratic,
1996 - Clinton,Georgia,2299071,1053849,45.8,,1080843,47,13,146337,6.4, ,,,,Republican,
1996 - Clinton,Hawaii,360120,205012,56.9,4,113943,31.6,,27358,7.6, ,,,,Democratic,
1996 - Clinton,Idaho,491719,165443,33.6,,256595,52.2,4,62518,12.7, ,,,,Republican,
1996 - Clinton,Illinois,4311391,2341744,54.3,22,1587021,36.8,,346408,8, ,,,,Democratic,
1996 - Clinton,Indiana,2135431,887424,41.6,,1006693,47.1,12,224299,10.5, ,,,,Republican,
1996 - Clinton,Iowa,1234075,620258,50.3,7,492644,39.9,,105159,8.5, ,,,,Democratic,
1996 - Clinton,Kansas,1074300,387659,36.1,,583245,54.3,6,92639,8.6, ,,,,Republican,
1996 - Clinton,Kentucky,1388708,636614,45.8,8,623283,44.9,,120396,8.7, ,,,,Democratic,
1996 - Clinton,Louisiana,1783959,927837,52,9,712586,39.9,,123293,6.9, ,,,,Democratic,
1996 - Clinton,Maine,605897,312788,51.6,4,186378,30.8,,85970,14.2, ,,,,Democratic,
1996 - Clinton,Maryland,1780870,966207,54.3,10,681530,38.3,,115812,6.5, ,,,,Democratic,
1996 - Clinton,Massachusetts,2556786,1571763,61.5,12,718107,28.1,,227217,8.9, ,,,,Democratic,
1996 - Clinton,Michigan,3848844,1989653,51.7,18,1481212,38.5,,336670,8.7, ,,,,Democratic,
1996 - Clinton,Minnesota,2192640,1120438,51.1,10,766476,35,,257704,11.8, ,,,,Democratic,
1996 - Clinton,Mississippi,893857,394022,44.1,,439838,49.2,7,52222,5.8, ,,,,Republican,
1996 - Clinton,Missouri,2158065,1025935,47.5,11,890016,41.2,,217188,10.1, ,,,,Democratic,
1996 - Clinton,Montana,407261,167922,41.3,,179652,44.1,3,55229,13.6, ,,,,Republican,
1996 - Clinton,Nebraska,677415,236761,35,,363467,53.7,5,71278,10.5, ,,,,Republican,
1996 - Clinton,Nevada,464279,203974,43.9,4,199244,42.9,,43986,9.5, ,,,,Democratic,
1996 - Clinton,New Hampshire,499175,246214,49.3,4,196532,39.4,,48390,9.7, ,,,,Democratic,
1996 - Clinton,New Jersey,3075807,1652329,53.7,15,1103078,35.9,,262134,8.5, ,,,,Democratic,
1996 - Clinton,New Mexico,556074,273495,49.2,5,232751,41.9,,32257,5.8, ,,,,Democratic,
