_l;Zone d'Emploi;name;name2;;Revenus fiscaux des ménages 2009 : nombre de ménages fiscaux;Revenus fiscaux des ménages 2009 : nombre de personnes dans les ménages fiscaux;Revenus fiscaux des ménages 2009 : part des ménages fiscaux imposés;Revenus fiscaux des ménages 2009 par Unité de Consommation (UC) : 1er Quartile (en Euros);Revenus fiscaux des ménages 2009 par Unité de Consommation (UC) : 2ème Quartile ou Médiane (en Euros);Revenus fiscaux des ménages 2009 par Unité de Consommation (UC) : 3ème Quartile (en Euros);Revenus fiscaux des ménages 2009 par Unité de Consommation (UC) : 1er Décile (en Euros);Revenus fiscaux des ménages 2009 par Unité de Consommation (UC) : 2ème Décile (en Euros);Revenus fiscaux des ménages 2009 par Unité de Consommation (UC) : 3ème Décile (en Euros);Revenus fiscaux des ménages 2009 par Unité de Consommation (UC) : 4ème Décile (en Euros);Revenus fiscaux des ménages 2009 par Unité de Consommation (UC) : 5ème Décile ou Médiane (en Euros);Revenus fiscaux des ménages 2009 par Unité de Consommation (UC) : 6ème Décile (en Euros);Revenus fiscaux des ménages 2009 par Unité de Consommation (UC) : 7ème Décile (en Euros);Revenus fiscaux des ménages 2009 par Unité de Consommation (UC) : 8ème Décile (en Euros);Revenus fiscaux des ménages 2009 par Unité de Consommation (UC) : 9ème Décile (en Euros);Revenus fiscaux des ménages 2009 par Unité de Consommation (UC) : Rapport inter-déciles (sans unité);Revenus fiscaux des ménages 2009 : part des revenus salariaux (%);Revenus fiscaux des ménages 2009 : part des pensions; retraites; rentes (%);Revenus fiscaux des ménages 2009 : part des revenus des professions non-salariées (%);Revenus fiscaux des ménages 2009 : part des autres revenus (%);Chomage_2003;Chomage_2004;Chomage_2005;Chomage_2006;Chomage_2007;Chomage_2008;Chomage_2009;Chomage_2010;Chomage_2003_2010;Agriculture;Industrie;Construction;Tertiaire_marchand;Tertiaire_non-marchand;Total_salariés;Non-salariés;Emploi_Total;Agriculture%;Industrie%;Construction%;Tertiaire_marchand;Tertiaire_non-marchand;Total_salariés;Non-salariés;Emploi_Total;POP_TOT_99;POP_TOT_09;EVOL_POP_99_09;POP_M20A_P60A_09;POP_20A59A_09;TAUX_DEP_ECO_09;POP_M20A_09;POP_P60A_09;INDIC_JEUN_09;REV_ PAR_UC_MED_09;REV_ PAR_UC_D1_09;POP_ACT_15A64A_09;POP_15A64A_09;TX_ACT_09;POP_ACT_EMP_15A64A_09;POP_15A64A_09;TX_EMP_15A64A_09;POP_ACT_EMP_55A64A_09;POP_55A64A_09;TX_EMP_55A64A_09;POP_F_EMP_15A64A_09;POP_F_15A64A_09;TX_EMP_F_15A64A_09;EST_EMP_98;EST_EMP_09;EVOL_EST_EMP_98_09;TX_CHOM_T1_03;TX_CHOM_T4_11;EVOL_ TX_CHOM_T1_03_T4_11;DE_A_11;DE_ABC_11;PART_F_DE_ABC_11;PART_J_DE_ABC_11;PART_LD_DE_ABC_11;POP_15A64A_09_p;ZONE_OUT
[ 46.688089542905374 , 2.5101504373286105];2402;Saint-Amand-Montrond;Saint-Amand-Montrond;38548;17672;37315;48.35;10515;15823.5;21608;5520;9196;11693;13787;15823.5;17843;20175;23319;29193;5.29;50.05;37.69;6.67;5.59;8.8;;9.7;10;9.9;8.5;8.4;10.1;10.9;11;1.3;220;1859;804;3306;3455;9644;2032;11676;2.28;19.28;8.34;34.28;35.83;9644.00;2032.00;11676.00;39,046;38,559;-0.1;20890;17669;118.2;7,822;13,069;59.9;15824;5520;15473;22,623;68.4;13,380;22,623;59.1;2,028;6,221;32.6;6,321;11,378;55.6;12,879;11,676;-0.8;8.4;11.3;2.9;1,741;2,401;49.5;16.6;42.2;1.7044;13812.02
[ 47.24929262270482 , 2.078583030316968];2403;Vierzon;Vierzon;46588;21137;46594.5;53.3;11327;16610;22423;5742;9903;12547;14631;16610;18667;21038;24137;30020;5.23;55.84;34.38;4.72;5.05;10.4;;11.3;11.2;10.3;9;8.9;11.7;12.1;12.4;1.1;100;3208;995;4625;4666;13594;1477;15071;0.74;23.60;7.32;34.02;34.32;13594.00;1477.00;15071.00;48,249;46,584;-0.4;24170;22414;107.8;10,040;14,130;71.1;16610;5742;19428;28,391;68.4;16,639;28,391;58.6;2,136;6,966;30.7;7,969;14,467;55.1;14,781;15,071;0.2;10.1;12.5;2.4;2,515;3,567;48.3;18.1;42.0;1.6408;17224.14
[ 48.39500076241493 , 1.3924747991726805];2404;Chartres;Chartres;241373;100858;244196.5;64.27;13903;19607;26461;8787;12486;15181;17414;19607;21958;24761;28586;35599;4.05;65.2;23.61;5.46;5.73;6.7;;7.3;7.5;7;6;5.5;7.4;7.8;7.7;0.4;529;16694;5504;34840;26201;83768;7782;91550;0.63;19.93;6.57;41.59;31.28;83768.00;7782.00;91550.00;230,391;241,408;0.5;114062;127346;89.6;61,302;52,760;116.2;19607;8787;117607;155,686;75.5;107,068;155,686;68.8;12,152;30,659;39.6;50,972;78,152;65.2;90,194;91,550;0.1;6.4;7.6;1.2;9,370;14,783;54.1;19.4;38.3;1.5506;107849.71
[ 48.0561917413853 , 1.2747977808450088];2405;Châteaudun;Châteaudun;38044;16199;36706;55.47;12167;17471;23389;7350;10819;13417;15541;17471;19532;21949;25199;31299;4.26;54.32;32.15;7.18;6.36;7.3;;8.2;8.3;7.8;6.7;7.4;9.5;9.3;9;0.8;161;2303;809;3836;4356;11465;1380;12845;1.40;20.09;7.06;33.46;37.99;11465.00;1380.00;12845.00;37,278;38,043;0.2;19461;18582;104.7;8,672;10,789;80.4;17471;7350;16388;23,018;71.2;14,707;23,018;63.9;1,794;5,070;35.4;6,686;11,014;60.7;13,516;12,845;-0.5;7.4;9.1;1.7;1,466;2,316;54.9;18.6;40.3;1.6527;14905.06
[ 48.71296555104485 , 1.313364104999055];2406;Dreux;Dreux;111781;42777;112348;60.61;11804;18271;25138;6464;10203;13282;15854;18271;20663;23453;27269;34032;5.26;66.72;23.45;4.84;4.99;10.1;;11;10.8;10.8;10.1;9.2;11.6;12.1;12;1;214;6041;1923;10680;9201;28059;3034;31093;0.76;21.53;6.85;38.06;32.79;28059.00;3034.00;31093.00;107,201;111,781;0.4;52998;58783;90.2;30,928;22,070;140.1;18271;6464;52082;72,178;72.2;45,083;72,178;62.5;5,075;13,965;36.3;21,069;36,431;57.8;33,425;31,093;-0.6;10;11.7;1.7;5,967;8,831;50.5;18.0;38.7;1.5487;45627.86
[ 46.70877849802351 , 1.044545960412544];2407;Le Blanc;Le Blanc;23079;10424;22279.5;46.47;11085;15747;21382;6600;9854;12097;13983;15747;17785;19957;23149;28969;4.39;49.4;38.2;6.89;5.51;6.5;;6.9;6.7;6.6;5.9;5.6;7.1;7.5;7.5;0.6;145;625;576;2050;2330;5726;1336;7062;2.53;10.92;10.06;35.80;40.69;5726.00;1336.00;7062.00;23,002;23,086;0.0;12473;10613;117.5;4,577;7,896;58.0;15747;6600;9282;13,452;69.0;8,484;13,452;63.1;1,082;3,396;31.9;3,931;6,644;59.2;6,815;7,062;0.3;6.5;7.5;1;667;1,007;54.6;19.2;34.5;1.7162;8240.76
[ 46.971626889112756 , 1.977465806602472];2408;Issoudun;Issoudun;21471;9566;20843;54.6;12169;17367;22889;7498;10844;13335;15395;17367;19288;21404;24726;30651;4.09;57.42;30.77;6.31;5.51;7.7;;7.8;8.1;8.3;7.8;7.8;9.8;10.4;10.2;2.4;74;2725;344;2943;1865;7951;727;8678;0.93;34.27;4.33;37.01;23.46;7951.00;727.00;8678.00;21,417;21,474;0.0;10747;10727;100.2;4,791;5,955;80.5;17367;7498;9644;13,344;72.3;8,597;13,344;64.4;898;2,797;32.1;4,082;6,744;60.5;9,438;8,678;-0.7;7.3;11.2;3.9;951;1,476;51.6;22.0;34.7;1.6093;8653.95
[ 46.72990337781314 , 1.6066555972386625];2409;Châteauroux;Châteauroux;177886;80326;174279;52.39;11648;16835;22869;7054;10403;12749;14861;16835;18903;21345;24667;30804;4.37;56.28;32.34;6.02;5.36;7.5;;8;8.2;8.2;6.8;6.3;8.1;8.3;8.1;0.1;765;10531;3942;25843;22033;63114;7728;70842;1.21;16.69;6.25;40.95;34.91;63114.00;7728.00;70842.00;177,013;177,854;0.0;89967;87887;102.4;37,434;52,533;71.3;16835;7054;78306;108,751;72.0;70,536;108,751;64.9;8,621;24,991;34.5;33,140;54,024;61.3;66,473;70,842;0.6;7.1;8.3;1.2;6,819;10,543;51.7;18.8;33.9;1.6354;70417.22
[ 47.191479035045546 , 0.21992650630964364];2410;Chinon;Chinon;34987;15225;35054.5;55.27;12066;17603;24559;7566;10829;13263;15399;17603;19997;22821;26498;33195;4.39;58.39;29.56;6.89;5.16;7.1;;7.7;7.7;7.5;6.8;6.8;7.8;7.8;7.6;-0.1;638;3037;865;4168;3802;12510;1632;14142;5.10;24.28;6.91;33.32;30.39;12510.00;1632.00;14142.00;34,973;34,991;0.0;17836;17155;104.0;8,048;9,787;82.2;17603;7566;15175;21,452;70.7;13,625;21,452;63.5;1,523;4,821;31.6;6,289;10,694;58.8;13,156;14,142;0.7;6.8;7.7;0.9;1,361;2,083;54.2;21.6;32.0;1.6312;13514.83
[ 47.112302348250154 , 1.101363813457615];2411;Loches;Loches;23326;10582;23126;49.52;11642.5;16546;22661;7438;10470;12689;14665;16546;18613;21034;24538;30669;4.12;53.49;32.89;7.41;6.21;7.2;;7.2;7.2;7;6.5;6.1;7.5;7.8;8.1;0.9;111;1433;495;2763;2428;7230;1302;8532;1.54;19.82;6.85;38.22;33.58;7230.00;1302.00;8532.00;22,297;23,318;0.4;12165;11153;109.1;5,048;7,116;70.9;16546;7438;10259;13,989;73.3;9,256;13,989;66.2;1,249;3,304;37.8;4,405;6,977;63.1;7,613;8,532;1.1;7.2;8.6;1.4;903;1,359;51.7;18.2;33.1;1.6669;9221.81
[ 47.31471478159868 , 0.6627231741567255];2412;Tours;Tours;525432;223248;508289;60.22;13022;18715;25709;7899;11649;14289;16534;18715;21076;23921;27936;35163;4.45;63.01;26.43;5.11;5.45;7.5;;7.9;7.8;7.7;6.8;6.5;8.1;8.3;8.2;0.3;1705;27383;14101;90187;66732;200108;17888;217996;0.85;13.68;7.05;45.07;33.35;200108.00;17888.00;217996.00;491,589;525,441;0.7;249279;276162;90.3;128,419;120,861;106.3;18715;7899;246562;341,533;72.2;221,806;341,533;64.9;25,146;64,224;39.2;107,075;174,489;61.4;197,499;217,996;0.9;7.3;8.3;1;21,465;33,627;51.4;18.9;33.3;1.5385;222085.19
[ 47.535678501364224 , 1.3542049517752406];2413;Blois;Blois;175323;75002;173742;59.75;12967.5;18661;25357;7600;11528;14222;16460;18661;20977;23697;27434;34219;4.5;60.18;28.64;5.65;5.53;7.4;;8;7.9;7.9;7.2;6.7;8.3;8.1;7.7;-0.3;1247;10925;4617;31187;23121;71097;6415;77512;1.75;15.37;6.49;43.87;32.52;71097.00;6415.00;77512.00;167,983;175,349;0.4;86459;88890;97.3;41,924;44,535;94.1;18661;7600;80763;109,811;73.5;72,385;109,811;65.9;8,755;23,042;38.0;34,877;55,214;63.2;69,618;77,512;1.0;7;8.1;1.1;7,017;11,285;50.5;18.5;34.0;1.5968;73168.00
[ 47.279086216509825 , 1.6876483288933468];2414;Romorantin-Lanthenay;Romorantin-Lanthenay;56839;25856;56980.5;52.94;11719;16940;22854;6921;10506;12930;15017;16940;19041;21422;24675;30489;4.41;52.6;36.01;5.75;5.64;10.1;;10.9;10.3;9.1;8;7.5;9.4;9.3;9.4;-1.5;323;3715;1430;5366;5193;16027;2340;18367;2.02;23.18;8.92;33.48;32.40;16027.00;2340.00;18367.00;57,070;56,839;0.0;30374;26465;114.8;12,030;18,344;65.6;16940;6921;23225;33,575;69.2;20,532;33,575;61.2;2,702;8,815;30.7;9,628;16,854;57.1;19,071;18,367;-0.3;9.8;9.3;-0.5;2,305;3,588;51.1;17.3;37.0;1.6929;20722.31
[ 47.8373399124437 , 0.9644853670350946];2415;Vendôme;Vendôme;66706;29455;66527.5;55.16;12709;17549;23739;7844;11475.5;13732;15682.5;17549;19688;22213;25611;31967;4.08;55.85;30.85;7.11;6.19;6.7;;7;6.8;6.6;5.9;6.1;8.1;8.2;7.8;0.8;378;6114;1236;7110;5780;20618;3049;23667;1.83;29.65;5.99;34.48;28.03;20618.00;3049.00;23667.00;64,436;66,720;0.3;34908;31812;109.7;15,066;19,842;75.9;17549;7844;29088;39,721;73.2;26,238;39,721;66.1;3,044;8,836;34.5;12,321;19,705;62.5;22,803;23,667;0.3;6.5;7.8;1.3;2,480;4,076;54.2;16.6;37.7;1.6797;26408.66
[ 47.601455523712026 , 2.561673887438038];2416;Gien;Gien;76903;33456;76717;56.82;12009;17617;24039;6810;10561;13310;15536;17617;19824;22427;26042;32321;4.75;58.04;30.93;5.02;6;6.3;;7.1;7;7.3;6.7;7.1;9.7;9.9;10.1;3;518;9544;1325;8318;5695;25400;2997;28397;2.04;37.57;5.22;32.75;22.42;25400.00;2997.00;28397.00;75,369;76,893;0.2;39018;37875;103.0;17,645;21,374;82.6;17617;6810;33749;47,039;71.7;29,944;47,039;63.7;3,593;10,520;34.2;13,676;23,277;58.8;27,743;28,397;0.2;5.8;10.7;4.9;3,823;5,744;52.1;20.0;38.5;1.6347;30663.30
[ 47.96570497434122 , 2.7699839770239043];2417;Montargis;Montargis;123474;53987;125417;57.9;11876;17728;24261;6666;10381;13233;15574;17728;20010;22649;26285;32910;4.94;57.39;30.64;5.66;6.32;8.4;;9;9.2;9.7;8.7;8.3;10.6;11.4;11.5;2.5;406;7287;3262;14854;10415;36224;4488;40712;1.12;20.12;9.01;41.01;28.75;36224.00;4488.00;40712.00;114,382;123,500;0.8;63645;59855;106.3;30,297;33,349;90.8;17728;6666;53852;75,094;71.7;47,024;75,094;62.6;5,593;16,135;34.7;21,879;37,685;58.1;37,697;40,712;0.7;8.1;11.8;3.7;6,436;9,351;50.9;18.2;41.0;1.6446;47971.29
[ 47.84999090891429 , 1.923081229526939];2418;Orléans;Orléans;471364;194940;467782;64.73;13566;19728;27223;7850;11993;14943;17353;19728;22285;25325;29487;36863;4.7;65.55;23.93;4.83;5.69;6;;6.5;6.6;6.6;6;5.6;7.5;7.8;7.7;1.2;1882;29381;12785;90237;64361;198646;14198;212844;0.95;14.79;6.44;45.43;32.40;198646.00;14198.00;212844.00;445,133;471,433;0.6;219946;251487;87.5;120,534;99,412;121.2;19728;7850;228475;308,038;74.2;207,731;308,038;67.4;23,907;57,820;41.3;99,848;154,522;64.6;198,970;212,844;0.6;5.7;7.8;2.1;18,540;30,398;51.3;17.8;36.2;1.5304;209036.18
[ 48.177132573280616 , 2.3049647464962915];2419;Pithiviers;Pithiviers;50750;20813;51624;59.75;12864;18390;24842;8062;11525;14091;16300;18390;20565;23199;26746;33340;4.14;62.23;24.33;6.83;6.6;6;;6.3;6.4;6.7;6.2;5.7;7.4;7.9;7.9;1.6;133;5619;990;6862;3519;17123;1828;18951;0.78;32.82;5.78;40.07;20.55;17123.00;1828.00;18951.00;47,820;50,741;0.6;24932;25809;96.6;12,958;11,974;108.2;18390;8062;23823;31,703;75.1;21,441;31,703;67.6;2,456;6,366;38.6;9,796;15,691;62.4;19,552;18,951;-0.3;5.4;8.5;3.1;2,183;3,478;55.3;19.1;35.8;1.6005;21328.63
[ 49.28234983127947 , -0.8652534121609856];2501;Bayeux;Bayeux;51370;22085;51765.5;54.45;11562;17069;23383;7083;10290;12785;15021;17069;19251;21877;25338;31791;4.49;56.85;30.16;6.69;6.3;8.1;;7.9;8;8.5;7.4;6.8;8.4;8.2;8.5;0.6;606;2426;896;6127;5132;15187;2346;17533;3.99;15.97;5.90;40.34;33.79;15187.00;2346.00;17533.00;49,510;51,368;0.4;25622;25746;99.5;12,109;13,513;89.6;17069;7083;22856;32,200;71.0;20,424;32,200;63.4;2,438;7,350;33.2;9,477;16,060;59.0;18,396;17,533;-0.4;8;9;1;2,235;3,418;52.3;21.9;32.9;1.5953;20277.29
[ 49.07294193440898 , -0.36198022235296057];2502;Caen;Caen;468405;191186;451778.5;60.17;12721;18461;25347;7562;11265;13985;16255;18461;20819;23633;27479;34519;4.56;63.76;24.9;5.64;5.71;9;;9.2;9.3;9.2;8.2;7.3;9.2;9.3;9.2;0;1558;22941;11991;78787;66169;181446;16246;197692;0.86;12.64;6.61;43.42;36.47;181446.00;16246.00;197692.00;444,059;468,417;0.5;217684;250733;86.8;119,385;98,299;121.5;18461;7562;218828;309,342;70.7;195,108;309,342;63.1;22,382;57,733;38.8;94,126;156,857;60.0;179,142;197,692;0.9;8.8;9.3;0.5;21,421;33,118;49.5;19.8;38.4;1.5142;196149.73
[ 49.31450597687965 , 0.17667583478737484];2503;Honfleur;Honfleur;52622;24256;53088;58.81;12088;17793;25747;7353;10767;13376;15597;17793;20364;23635;28394;37893;5.15;52.01;29.72;7.72;10.55;8.9;;9.1;8.9;8.5;7.6;7;8.8;8.9;8.7;-0.4;426;1913;1395;11053;4938;19725;2887;22612;2.16;9.70;7.07;56.04;25.03;19725.00;2887.00;22612.00;49,358;52,643;0.6;26819;25824;103.9;12,203;14,617;83.5;17793;7353;23497;32,350;72.6;21,002;32,350;64.9;2,701;7,351;36.7;10,030;16,560;60.6;19,572;22,612;1.4;8.7;8.8;0.1;2,444;3,556;52.8;17.8;33.5;1.6273;21333.02
[ 49.04926708844733 , 0.2351212408140648];2504;Lisieux;Lisieux;70570;29820;70133;52.83;10942;16270;22528;6123;9600;12131;14237;16270;18528;20999;24363;30943;5.05;59.08;28.58;6.03;6.3;9.1;;9.3;9.5;9.3;8.3;7.8;9.9;9.8;9.9;0.6;403;4988;1604;8938;7103;23036;3148;26184;1.75;21.65;6.96;38.80;30.83;23036.00;3148.00;26184.00;68,984;70,580;0.2;35798;34782;102.9;17,987;17,811;101.0;16270;6123;31063;43,667;71.1;27,213;43,667;62.3;3,213;9,308;34.5;12,700;22,163;57.3;24,461;26,184;0.6;9;10;1;3,418;5,065;51.0;21.4;36.5;1.6163;27663.39
[ 48.83767137004281 , -0.9010097644037306];2505;Vire;Vire;40254;17079;39077;48.01;11213;16088;21582;6653;9956;12293;14243;16088;17959;20262;23140;28333;4.26;57.76;28.9;6.74;6.6;7.2;;7.3;7.9;8.1;7;6.8;8.4;8.4;8.2;0.9;150;3151;727;5081;3993;13102;2066;15168;1.14;24.05;5.55;38.78;30.48;13102.00;2066.00;15168.00;39,518;40,254;0.2;20737;19517;106.3;9,271;11,467;80.8;16088;6653;17687;24,256;72.9;15,994;24,256;65.9;1,817;5,206;34.9;7,432;12,067;61.6;15,285;15,168;-0.1;7.1;8.3;1.2;1,422;2,313;53.5;19.5;38.9;1.6595;15940.39
[ 48.65037961957177 , -1.1796411134833882];2506;Avranches;Avranches;90970;39344;89230.5;47.26;11519;16241;21869;7353;10469;12539;14389;16241;18190;20496;23546;29253;3.98;55.26;29.86;8.03;6.85;5.2;;5.3;5.4;5.6;5.2;4.9;6.7;6.5;6.3;1;424;7453;2628;10380;8183;29068;5676;34744;1.46;25.64;9.04;35.71;28.15;29068.00;5676.00;34744.00;87,907;91,009;0.3;47271;43738;108.1;20,215;27,056;74.7;16241;7353;39681;54,356;73.0;36,547;54,356;67.2;4,116;12,027;34.2;16,758;26,535;63.2;32,505;34,744;0.6;5.2;6.5;1.3;2,885;4,601;54.1;18.9;37.1;1.6743;36655.91
[ 49.479596726301715 , -1.5091579983318029];2507;Cherbourg-Octeville;Cherbourg-Octeville;208388;87740;205866.5;54.1;11604;17027;23509;6944;10266;12779;14917;17027;19284;21902;25420;31487;4.53;61.82;27.53;6.04;4.6;9.5;;10;10.2;10.2;9;8.2;9.8;9.6;9.5;-0.5;1324;15100;5251;24576;21849;68100;7380;75480;1.94;22.17;7.71;36.09;32.08;68100.00;7380.00;75480.00;207,501;208,455;0.0;101067;107388;94.1;51,538;49,530;104.1;17027;6944;93943;132,742;70.8;83,550;132,742;62.9;7,761;26,085;29.8;37,505;65,074;57.6;72,786;75,480;0.3;9.6;9.2;-0.4;8,335;13,197;54.9;22.1;36.6;1.5704;83594.77
[ 49.12875289184783 , -1.4631169816373157];2508;Coutances;Coutances;59483;25691;58509.5;48.59;11343;16326;22301;6875;10183;12461;14456;16326;18386;20826;24300;31047;4.52;51.73;32.48;9.31;6.48;6.9;;7.3;7.4;7.4;7.1;6.7;8.5;8.4;8.4;1.1;873;3161;1721;6455;5318;17528;3122;20650;4.98;18.03;9.82;36.83;30.34;17528.00;3122.00;20650.00;54,840;59,486;0.8;31292;28194;111.0;13,937;17,355;80.3;16326;6875;25329;35,818;70.7;23,030;35,818;64.3;2,599;8,162;31.8;10,681;17,697;60.4;20,243;20,650;0.2;6.6;8.5;1.9;2,073;3,545;54.1;22.3;36.9;1.6608;22953.89
[ 48.845159598796705 , -1.445771969354711];2509;Granville;Granville;50468;23240;50770.5;52.19;12132;17451;24317;7651;10870;13256;15338;17451;19801;22540;26747;34498;4.51;48.39;35.98;7.92;7.71;8;;8.3;7.9;8.1;7.5;6.8;9;8.8;8.8;0.5;393;1854;1270;6088;5201;14806;2541;17347;2.65;12.52;8.58;41.12;35.13;14806.00;2541.00;17347.00;46,258;50,463;0.9;27399;23064;118.8;11,161;16,238;68.7;17451;7651;20630;29,719;69.4;18,679;29,719;62.9;2,326;7,536;30.9;9,042;15,123;59.8;15,708;17,347;0.9;8;8.5;0.5;1,950;3,149;51.3;19.0;38.9;1.6980;18859.37
[ 49.079176252534886 , -1.1088569249100273];2510;Saint-Lô;Saint-Lô;84347;35952;83711;51.56;12025;17093;22950;7373;10753;13131;15163;17093;19142;21513;24740;30361;4.12;61.23;27.07;6.31;5.39;5.7;;5.9;6.2;6.3;5.9;5.5;7.1;6.9;6.9;1;417;4094;2950;11860;16506;35827;3863;39690;1.16;11.43;8.23;33.10;46.07;35827.00;3863.00;39690.00;80,716;84,346;0.4;41277;43069;95.8;20,333;20,944;97.1;17093;7373;38736;53,001;73.1;35,770;53,001;67.5;3,924;10,935;35.9;17,007;26,481;64.2;36,301;39,690;0.8;5.5;7;1.5;2,843;4,916;52.5;21.7;35.3;1.5914;35989.88
[ 48.73137027202327 , -0.023634050293146892];2511;Argentan;Argentan;41446;17716;40280;50.9;11163;16339;22125;6401.5;9873;12302;14427.5;16339;18409;20707;23831;29226;4.57;57.32;30.21;6.7;5.77;9.2;;10.5;10.5;9.7;8.7;8.6;10.3;9.6;9.5;-1;439;2213;765;4945;4177;12539;2008;14547;3.50;17.65;6.10;39.44;33.31;12539.00;2008.00;14547.00;42,452;41,436;-0.2;20427;21009;97.2;9,895;10,532;93.9;16339;6402;18103;26,270;68.9;15,865;26,270;60.4;1,952;5,851;33.4;7,473;12,780;58.5;15,007;14,547;-0.3;9;9.5;0.5;1,679;2,574;48.6;19.8;36.7;1.5773;16024.74
[ 48.66680104523279 , -0.5451063679023322];2512;Flers;Flers;101451;43951;100367;50;11530;16301;21787;6951;10263;12619;14527;16301;18184;20432;23467;29012;4.17;57.2;29.99;6.62;6.2;7;;7.4;7.9;8;7.2;6.6;8.9;9.1;8.6;1.2;314;10602;2432;10199;9714;33261;4811;38072;0.94;31.88;7.31;30.66;29.21;33261.00;4811.00;38072.00;101,676;101,498;0.0;52115;49383;105.5;23,436;28,679;81.7;16301;6951;44025;61,438;71.7;39,457;61,438;64.2;4,482;13,715;32.7;18,299;30,369;60.3;39,942;38,072;-0.4;6.8;8.6;1.8;3,842;6,373;50.3;20.6;42.0;1.6521;40340.72
[ 48.75440261600312 , 0.4990069050316198];2513;L'Aigle;L'Aigle;34424;14959;34230;51.03;10679;16128;22142;5960;9390;11939;14059;16128;18217;20577;24106;30174.5;5.06;56.2;31.75;6.11;5.94;8.5;;9.1;9.4;9.2;8.4;8.4;11;10.6;10.1;1;411;2821;647;3238;3014;10131;1702;11833;4.06;27.85;6.39;31.96;29.75;10131.00;1702.00;11833.00;34,084;34,420;0.1;17792;16628;107.0;8,232;9,560;86.1;16128;5960;14663;20,796;70.5;12,806;20,796;61.6;1,567;4,689;33.4;5,945;10,437;57.0;11,541;11,833;0.2;8.2;9.8;1.6;1,494;2,219;52.1;18.2;37.5;1.6551;12985.67
[ 47.03494708562656 , 4.758969580363684];2601;Beaune;Beaune;50564;21452;49782.5;61.26;13071;18973;26163;8118;11681;14431;16738;18973;21465.5;24380;28531;37270;4.59;57.79;23.74;8.56;9.92;6.6;;6.8;6.9;6.7;6;5.4;6.7;7;6.8;0;1680;3491;1106;9699;4655;20631;2961;23592;8.14;16.92;5.36;47.01;22.56;20631.00;2961.00;23592.00;48,540;50,592;0.4;24248;26344;92.0;11,965;12,283;97.4;18973;8118;24391;32,359;75.4;22,284;32,359;68.9;2,773;6,608;42.0;10,574;16,257;65.0;21,864;23,592;0.7;6.3;7.2;0.9;1,817;2,899;56.0;19.7;37.6;1.5634;22191.55
[ 47.842130393477824 , 4.608518873604174];2602;Chatillon;Chatillon;18761;8297;18384.5;51.13;11401;16235;22387;6674;10218;12519;14470;16235;18349;20791;24140;30220;4.53;51.13;33.16;8.5;7.21;6.8;;6.5;7;7.8;7;6.3;8.5;9.2;9.2;2.7;275;1053;284;1560;1567;4739;1100;5839;5.80;22.22;5.99;32.92;33.07;4739.00;1100.00;5839.00;20,224;18,768;-0.7;9837;8931;110.2;4,026;5,811;69.3;16235;6674;7942;11,372;69.8;7,085;11,372;62.3;984;2,840;34.7;3,171;5,574;56.9;6,187;5,839;-0.5;6.9;9.7;2.8;790;1,257;56.5;19.0;46.3;1.6504;7406.20
[ 47.346303325719695 , 4.91125997764501];2603;Dijon;Dijon;422377;176974;400086.5;62.78;13547;19537;26817;8274;12098;14857;17204;19537;22026;24994;29051;36557;4.42;63.32;25.34;5.48;5.85;7.2;;7.4;7.4;7.3;6.7;6.1;7.6;7.8;7.6;0.2;1933;22911;11388;74863;67211;178306;15083;193389;1.08;12.85;6.39;41.99;37.69;178306.00;15083.00;193389.00;405,138;422,399;0.4;193566;228833;84.6;101,316;92,250;109.8;19537;8274;204044;282,128;72.3;185,535;282,128;65.8;21,934;52,235;42.0;89,234;143,343;62.3;177,480;193,389;0.8;7;7.7;0.7;16,133;26,377;52.0;18.8;38.8;1.4972;185195.77
[ 47.518443991371626 , 4.351485792676693];2604;Montbard;Montbard;32303;14213;31554;53.32;12004;17123.5;23148;7208;10743;13092;15119;17123.5;19208;21667;25076;30782;4.27;58.3;30.52;5.49;5.69;7;;7.2;7;7.4;6.6;6;8.1;7.8;7.7;0.5;197;2979;732;3128;3547;10583;1528;12111;1.86;28.15;6.92;29.56;33.52;10583.00;1528.00;12111.00;33,019;32,317;-0.2;16250;16067;101.1;7,187;9,063;79.3;17124;7208;14567;20,011;72.8;13,198;20,011;66.0;1,708;4,591;37.2;6,142;9,949;61.7;11,510;12,111;0.5;6.8;7.8;1;1,147;1,856;55.0;19.4;42.7;1.6150;13301.24
[ 47.10491949602595 , 3.8037097179094275];2605;Morvan;Morvan;36542;17115;34396.5;46.5;10552;15645;22013;5832;9358;11645;13638;15645;17769;20452;23728;29945;5.13;40.69;44.68;7.71;6.92;7;;7.1;7.2;7.4;6.9;6.5;7.6;8;8.2;1.1;278;655;648;2661;3146;7388;2560;9948;3.76;8.87;8.77;36.02;42.58;7388.00;2560.00;9948.00;37,630;36,541;-0.3;20574;15967;128.9;6,214;14,360;43.3;15645;5832;13766;20,757;66.3;12,337;20,757;59.4;1,915;6,181;31.0;5,648;10,085;56.0;10,705;9,948;-0.6;6.9;8.4;1.5;1,191;1,703;52.4;14.9;40.9;1.7604;12694.36
